events/idEvent,events/idSoccerXML,events/idAPIfootball,events/strEvent,events/strEventAlternate,events/strFilename,events/strSport,events/idLeague,events/strLeague,events/strSeason,events/strDescriptionEN,events/strHomeTeam,events/strAwayTeam,events/intHomeScore,events/intRound,events/intAwayScore,events/intSpectators,events/strOfficial,events/strTimestamp,events/dateEvent,events/dateEventLocal,events/strTime,events/strTimeLocal,events/strTVStation,events/idHomeTeam,events/idAwayTeam,events/intScore,events/intScoreVotes,events/strResult,events/strVenue,events/strCountry,events/strCity,events/strPoster,events/strSquare,events/strFanart,events/strThumb,events/strBanner,events/strMap,events/strTweet1,events/strTweet2,events/strTweet3,events/strVideo,events/strStatus,events/strPostponed,events/strLocked
508731,364253,,Hull vs Leicester,Leicester @ Hull,English Premier League 2016-08-13 Hull vs Leicester,Soccer,4328,English Premier League,2016-2017,,Hull,Leicester,2,1,1,0,,,2016-08-13,,11:30:00+00:00,,,133617,133626,,,,,,,,,,,,,,,,,,no,unlocked
508732,364254,,Crystal Palace vs West Brom,West Brom @ Crystal Palace,English Premier League 2016-08-13 Crystal Palace vs West Brom,Soccer,4328,English Premier League,2016-2017,,Crystal Palace,West Brom,0,1,1,0,,,2016-08-13,,14:00:00+00:00,,,133632,133611,,,,,,,,,,,,,,,,,,no,unlocked
508733,364255,,Everton vs Tottenham,Tottenham @ Everton,English Premier League 2016-08-13 Everton vs Tottenham,Soccer,4328,English Premier League,2016-2017,,Everton,Tottenham,1,1,1,0,,,2016-08-13,,14:00:00+00:00,,,133615,133616,,,,,,,,,,,,,,,,,,no,unlocked
508734,364256,,Middlesbrough vs Stoke,Stoke @ Middlesbrough,English Premier League 2016-08-13 Middlesbrough vs Stoke,Soccer,4328,English Premier League,2016-2017,,Middlesbrough,Stoke,1,1,1,0,,,2016-08-13,,14:00:00+00:00,,,133628,133609,,,,,,,,,,,,,,,,,,no,unlocked
508735,364257,,Burnley vs Swansea,Swansea @ Burnley,English Premier League 2016-08-13 Burnley vs Swansea,Soccer,4328,English Premier League,2016-2017,,Burnley,Swansea,0,1,1,0,,,2016-08-13,,14:00:00+00:00,,,133623,133614,,,,,,,,,,,,,,,,,,no,unlocked
508736,364258,,Southampton vs Watford,Watford @ Southampton,English Premier League 2016-08-13 Southampton vs Watford,Soccer,4328,English Premier League,2016-2017,,Southampton,Watford,1,1,1,0,,,2016-08-13,,14:00:00+00:00,,,134778,133624,,,,,,,,,,,,,,,,,,no,unlocked
508737,364259,,Man City vs Sunderland,Sunderland @ Man City,English Premier League 2016-08-13 Manchester City vs Sunderland,Soccer,4328,English Premier League,2016-2017,,Manchester City,Sunderland,2,1,1,0,,,2016-08-13,,16:30:00+00:00,,,133613,133603,,,,,,,,,,,,,,,,,,no,unlocked
508738,364260,,Bournemouth vs Man United,Man United @ Bournemouth,English Premier League 2016-08-14 Bournemouth vs Manchester United,Soccer,4328,English Premier League,2016-2017,,Bournemouth,Manchester United,1,1,3,0,,,2016-08-14,,12:30:00+00:00,,,134301,133612,,,,,,,,,,,,,,,,,,no,unlocked
508739,364261,,Arsenal vs Liverpool,Liverpool @ Arsenal,English Premier League 2016-08-14 Arsenal vs Liverpool,Soccer,4328,English Premier League,2016-2017,,Arsenal,Liverpool,3,1,4,0,,,2016-08-14,,15:00:00+00:00,,,133604,133602,,,,,,,,,,,,,,,,,,no,unlocked
508740,364262,,Chelsea vs West Ham,West Ham @ Chelsea,English Premier League 2016-08-15 Chelsea vs West Ham,Soccer,4328,English Premier League,2016-2017,,Chelsea,West Ham,2,1,1,0,,,2016-08-15,,19:00:00+00:00,,,133610,133636,,,,,,,,,,,,,,,,,,no,unlocked
