events/idEvent,events/idSoccerXML,events/idAPIfootball,events/strEvent,events/strEventAlternate,events/strFilename,events/strSport,events/idLeague,events/strLeague,events/strSeason,events/strDescriptionEN,events/strHomeTeam,events/strAwayTeam,events/intHomeScore,events/intRound,events/intAwayScore,events/intSpectators,events/strOfficial,events/strTimestamp,events/dateEvent,events/dateEventLocal,events/strTime,events/strTimeLocal,events/strTVStation,events/idHomeTeam,events/idAwayTeam,events/intScore,events/intScoreVotes,events/strResult,events/strVenue,events/strCountry,events/strCity,events/strPoster,events/strSquare,events/strFanart,events/strThumb,events/strBanner,events/strMap,events/strTweet1,events/strTweet2,events/strTweet3,events/strVideo,events/strStatus,events/strPostponed,events/strLocked
576470,389855,,Man United vs Leicester,Leicester @ Man United,English Premier League 2018-08-11 Manchester United vs Leicester,Soccer,4328,English Premier League,2018-2019,,Manchester United,Leicester,2,1,1,,,,2018-08-10,2018-08-10,19:00:00+00:00,,,133612,133626,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/o22fn71534070517.jpg,https://www.thesportsdb.com/images/media/event/thumb/y8gi1a1537296646.jpg,,,,,,https://www.youtube.com/watch?v=XfZMWwb5200,,no,unlocked
576471,389856,,Newcastle vs Tottenham,Tottenham @ Newcastle,English Premier League 2018-08-11 Newcastle vs Tottenham,Soccer,4328,English Premier League,2018-2019,,Newcastle,Tottenham,1,1,2,,,,2018-08-11,,11:30:00+00:00,,,134777,133616,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/czd3k41534070216.jpg,https://www.thesportsdb.com/images/media/event/thumb/cev21v1537296832.jpg,,,,,,,,no,unlocked
576474,389859,,Bournemouth vs Cardiff,Cardiff @ Bournemouth,English Premier League 2018-08-11 Bournemouth vs Cardiff,Soccer,4328,English Premier League,2018-2019,,Bournemouth,Cardiff,2,1,0,,,,2018-08-11,,14:00:00+00:00,,,134301,133637,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/o66fdt1534070861.jpg,https://www.thesportsdb.com/images/media/event/thumb/5v1oqw1537297010.jpg,,,,,,,,no,unlocked
576475,389860,,Watford vs Brighton,Brighton @ Watford,English Premier League 2018-08-11 Watford vs Brighton,Soccer,4328,English Premier League,2018-2019,,Watford,Brighton,2,1,0,,,,2018-08-11,,14:00:00+00:00,,,133624,133619,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/ckhu351534071350.jpg,https://www.thesportsdb.com/images/media/event/thumb/x3f20o1537297265.jpg,,,,,,,,no,unlocked
576476,389861,,Fulham vs Crystal Palace,Crystal Palace @ Fulham,English Premier League 2018-08-11 Fulham vs Crystal Palace,Soccer,4328,English Premier League,2018-2019,,Fulham,Crystal Palace,0,1,2,,,,2018-08-11,,14:00:00+00:00,,,133600,133632,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/fchoou1534071694.jpg,https://www.thesportsdb.com/images/media/event/thumb/4w2vsq1537297378.jpg,,,,,,,,no,unlocked
576477,389862,,Wolves vs Everton,Everton @ Wolves,English Premier League 2018-08-11 Wolves vs Everton,Soccer,4328,English Premier League,2018-2019,,Wolves,Everton,2,1,2,,,,2018-08-11,,16:30:00+00:00,,,133599,133615,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/17mhqb1534072103.jpg,https://www.thesportsdb.com/images/media/event/thumb/7pknm21537297498.jpg,,,,,,,,no,unlocked
576478,389863,,Huddersfield Town vs Chelsea,Chelsea @ Huddersfield Town,English Premier League 2018-08-11 Huddersfield Town vs Chelsea,Soccer,4328,English Premier League,2018-2019,,Huddersfield Town,Chelsea,0,1,3,,,,2018-08-11,,14:00:00+00:00,,,133932,133610,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/qv9asi1534075753.jpg,https://www.thesportsdb.com/images/media/event/thumb/g15wry1537297619.jpg,,,,,,,,no,unlocked
576472,389857,,Arsenal vs Man City,Man City @ Arsenal,English Premier League 2018-08-11 Arsenal vs Manchester City,Soccer,4328,English Premier League,2018-2019,,Arsenal,Manchester City,0,1,2,,,,2018-08-12,,15:00:00+00:00,,,133604,133613,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/6qcsu21535212113.jpg,https://www.thesportsdb.com/images/media/event/thumb/14k3zw1534075940.jpg,,,,,,,,no,unlocked
576473,389858,,Southampton vs Burnley,Burnley @ Southampton,English Premier League 2018-08-11 Southampton vs Burnley,Soccer,4328,English Premier League,2018-2019,,Southampton,Burnley,0,1,0,,,,2018-08-12,,12:30:00+00:00,,,134778,133623,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/yo9d9k1535216282.jpg,https://www.thesportsdb.com/images/media/event/thumb/b30p0s1535217526.jpg,,,,,,,,no,unlocked
576479,389864,,Liverpool vs West Ham,West Ham @ Liverpool,English Premier League 2018-08-11 Liverpool vs West Ham,Soccer,4328,English Premier League,2018-2019,,Liverpool,West Ham,4,1,0,,,,2018-08-12,,12:30:00+00:00,,,133602,133636,,,,,,,,,https://www.thesportsdb.com/images/media/event/fanart/2j0sfw1535217664.jpg,https://www.thesportsdb.com/images/media/event/thumb/jh9c3k1535217800.jpg,,,,,,,,no,unlocked
