events/idEvent,events/idSoccerXML,events/idAPIfootball,events/strEvent,events/strEventAlternate,events/strFilename,events/strSport,events/idLeague,events/strLeague,events/strSeason,events/strDescriptionEN,events/strHomeTeam,events/strAwayTeam,events/intHomeScore,events/intRound,events/intAwayScore,events/intSpectators,events/strOfficial,events/strTimestamp,events/dateEvent,events/dateEventLocal,events/strTime,events/strTimeLocal,events/strTVStation,events/idHomeTeam,events/idAwayTeam,events/intScore,events/intScoreVotes,events/strResult,events/strVenue,events/strCountry,events/strCity,events/strPoster,events/strSquare,events/strFanart,events/strThumb,events/strBanner,events/strMap,events/strTweet1,events/strTweet2,events/strTweet3,events/strVideo,events/strStatus,events/strPostponed,events/strLocked
1570706,,867946,Crystal Palace vs Arsenal,Arsenal @ Crystal Palace,English Premier League 2022-08-05 Crystal Palace vs Arsenal,Soccer,4328,English Premier League,2022-2023,"The Premier is back! After a few eternal weeks without club football, the best league in the world is here. Crystal Palace and Arsenal are in charge of kicking off this new season. A high-level match between two Premier League classics!",Crystal Palace,Arsenal,0,1,2,,,2022-08-05T19:00:00+00:00,2022-08-05,2022-08-05,19:00:00,20:00:00,,133632,133604,,,,Selhurst Park,England,,https://www.thesportsdb.com/images/media/event/poster/85wt4b1659895715.jpg,https://www.thesportsdb.com/images/media/event/square/l65ygm1659893265.jpg,https://www.thesportsdb.com/images/media/event/fanart/by0ztr1659788996.jpg,https://www.thesportsdb.com/images/media/event/thumb/718r1o1659642256.jpg,https://www.thesportsdb.com/images/media/event/banner/ktydks1659896704.jpg,,https://twitter.com/Arsenal/status/1555657908830044161,https://twitter.com/CPFC/status/1555657621109186560,https://twitter.com/premierleague/status/1555657773249069056,https://www.youtube.com/watch?v=57r-Rs5tEdY,Match Finished,no,unlocked
1570707,,867947,Fulham vs Liverpool,Liverpool @ Fulham,English Premier League 2022-08-06 Fulham vs Liverpool,Soccer,4328,English Premier League,2022-2023,"Jürgen Klopp's Liverpool, who arrive at the event after winning the Community Shield, the first title of the course, opens this Premier League season by visiting Craven Cottage, where the newly promoted, although classic in the competition, awaits them, Fulham . As classic as its old stadium.",Fulham,Liverpool,2,1,2,,,2022-08-06T11:30:00+00:00,2022-08-06,2022-08-06,11:30:00,12:30:00,,133600,133602,,,,Craven Cottage,England,,https://www.thesportsdb.com/images/media/event/poster/47guil1659895715.jpg,https://www.thesportsdb.com/images/media/event/square/eobc6k1659893266.jpg,https://www.thesportsdb.com/images/media/event/fanart/92ria11659788060.jpg,https://www.thesportsdb.com/images/media/event/thumb/44oqk71659642256.jpg,https://www.thesportsdb.com/images/media/event/banner/59aq0t1659896704.jpg,,https://twitter.com/FulhamFC/status/1555907598876114944,https://twitter.com/premierleague/status/1555907720548589568,https://twitter.com/LFC/status/1555914213184397317,https://www.youtube.com/watch?v=cyReVQnoNxA,Match Finished,no,unlocked
1570708,,867948,Bournemouth vs Aston Villa,Aston Villa @ Bournemouth,English Premier League 2022-08-06 Bournemouth vs Aston Villa,Soccer,4328,English Premier League,2022-2023,"Bournemouth and Aston Villa begin their participation in the current edition of the Premier League measuring forces at the Vitality Stadium. Curiously, Bournemouth's premiere in the Premier was against the villains in 2015.",Bournemouth,Aston Villa,2,1,0,,,2022-08-06T14:00:00+00:00,2022-08-06,2022-08-06,14:00:00,15:00:00,,134301,133601,,,,Vitality Stadium,England,,https://www.thesportsdb.com/images/media/event/poster/iiv92l1659895716.jpg,https://www.thesportsdb.com/images/media/event/square/dqvyec1659893267.jpg,https://www.thesportsdb.com/images/media/event/fanart/bw630m1659812421.jpg,https://www.thesportsdb.com/images/media/event/thumb/v8gyqd1659642257.jpg,https://www.thesportsdb.com/images/media/event/banner/td5psf1659896705.jpg,,https://twitter.com/afcbournemouth/status/1555945451354001411/photo/1,https://twitter.com/afcbournemouth/status/1555947499764031491,,https://www.youtube.com/watch?v=ltJe_PhzmXs,Match Finished,no,unlocked
1570709,,867949,Leeds vs Wolves,Wolves @ Leeds,English Premier League 2022-08-06 Leeds vs Wolves,Soccer,4328,English Premier League,2022-2023,"Leeds United, who suffered excessively last season to achieve permanence, and Wolverhampton begin their journey in the new season of the Premier League facing each other at Elland Road. Wolves ended last season on a losing run on the road and haven't won away from home in the league since March.",Leeds,Wolves,2,1,1,,,2022-08-06T14:00:00+00:00,2022-08-06,2022-08-06,14:00:00,15:00:00,,133635,133599,,,,Elland Road,England,,https://www.thesportsdb.com/images/media/event/poster/r13drb1659895716.jpg,https://www.thesportsdb.com/images/media/event/square/acfu481659893267.jpg,https://www.thesportsdb.com/images/media/event/fanart/ta54141659813047.jpg,https://www.thesportsdb.com/images/media/event/thumb/qyvrpg1659642257.jpg,https://www.thesportsdb.com/images/media/event/banner/t3sbv31659896705.jpg,,https://twitter.com/LUFC/status/1555946031413698561,,,https://www.youtube.com/watch?v=h-ostlu9avE,Match Finished,no,unlocked
1570712,,867952,Tottenham vs Southampton,Southampton @ Tottenham,English Premier League 2022-08-06 Tottenham vs Southampton,Soccer,4328,English Premier League,2022-2023,"Tottenham faces an important season, in which they will participate in the Champions League, and they do so in the domestic championship making their debut against Southampton at home. The duo formed by Kane (11) and Son (10) have 21 goals against Soton. One of the favorite prey of the Spurs offensive tandem.",Tottenham,Southampton,4,1,1,,,2022-08-06T14:00:00+00:00,2022-08-06,2022-08-06,14:00:00,15:00:00,,133616,134778,,,,Tottenham Hotspur Stadium,England,,https://www.thesportsdb.com/images/media/event/poster/s7pwv61659895717.jpg,https://www.thesportsdb.com/images/media/event/square/48aemg1659893268.jpg,https://www.thesportsdb.com/images/media/event/fanart/tya5ts1659813253.jpg,https://www.thesportsdb.com/images/media/event/thumb/m7qc531659642258.jpg,https://www.thesportsdb.com/images/media/event/banner/e519ib1659896706.jpg,,https://twitter.com/SpursOfficial/status/1555944637340303360,,,https://www.youtube.com/watch?v=laPaeEQ_Aeg,Match Finished,no,unlocked
1570713,,867953,Everton vs Chelsea,Chelsea @ Everton,English Premier League 2022-08-06 Everton vs Chelsea,Soccer,4328,English Premier League,2022-2023,Chelsea opens fire this Premier League season at Goodison Park to face off against Everton who want to leave behind what they suffered last season. The last four visits of the blues to the toffee stadium. This is the Londoners' worst current run with any English club.,Everton,Chelsea,0,1,1,,,2022-08-06T16:30:00+00:00,2022-08-06,2022-08-06,16:30:00,17:30:00,,133615,133610,,,,Goodison Park,England,,https://www.thesportsdb.com/images/media/event/poster/hxa99x1659895718.jpg,https://www.thesportsdb.com/images/media/event/square/7sf7gn1659893269.jpg,https://www.thesportsdb.com/images/media/event/fanart/52t5q01659812936.jpg,https://www.thesportsdb.com/images/media/event/thumb/xqptxu1659642259.jpg,https://www.thesportsdb.com/images/media/event/banner/aza8up1659896706.jpg,,https://twitter.com/premierleague/status/1555986549598298113,,,https://www.youtube.com/watch?v=xRdSrxshPw4,Match Finished,no,unlocked
1571087,,867951,Newcastle vs Nottingham Forest,Nottingham Forest @ Newcastle,English Premier League 2022-08-06 Newcastle vs Nottingham Forest,Soccer,4328,English Premier League,2022-2023,"The historic Nottingham Forest, which returns to the Premier League this season since relegation from the top English competition in 1999, debuts against the always difficult Newcastle at St James Park, who also have Forest as one of their favorite victims.",Newcastle,Nottingham Forest,2,1,0,,,2022-08-06T14:00:00+00:00,2022-08-06,2022-08-06,14:00:00,15:00:00,,134777,133720,,,,St. James' Park,England,,https://www.thesportsdb.com/images/media/event/poster/kjv7hf1659895882.jpg,https://www.thesportsdb.com/images/media/event/square/f5alzb1659893440.jpg,https://www.thesportsdb.com/images/media/event/fanart/4vgjyu1659813127.jpg,https://www.thesportsdb.com/images/media/event/thumb/g0sfcv1659642433.jpg,https://www.thesportsdb.com/images/media/event/banner/c1nd2w1659896859.jpg,,https://twitter.com/NUFC/status/1555945133828358147,,,https://www.youtube.com/watch?v=y85p5Uykxm8,Match Finished,no,unlocked
1570710,,867950,Leicester vs Brentford,Brentford @ Leicester,English Premier League 2022-08-07 Leicester vs Brentford,Soccer,4328,English Premier League,2022-2023,"Leicester and Brentford meet at the King Power Stadium on the first day of the new Premier League season. Vardy, the top scorer in the history of the Foxes, is only 17 goals away from 150 goals and thus enters the top-10 of the Premier's top scorers.",Leicester,Brentford,2,1,2,,,2022-08-07T13:00:00+00:00,2022-08-07,2022-08-07,13:00:00,14:00:00,,133626,134355,,,,King Power Stadium,England,,https://www.thesportsdb.com/images/media/event/poster/0mv45k1659895717.jpg,https://www.thesportsdb.com/images/media/event/square/qevvfa1659893268.jpg,https://www.thesportsdb.com/images/media/event/fanart/nwm2tp1659884976.jpg,https://www.thesportsdb.com/images/media/event/thumb/0yrv0e1659642258.jpg,https://www.thesportsdb.com/images/media/event/banner/t0o5nh1659896706.jpg,,https://twitter.com/premierleague/status/1556291776566239232,https://twitter.com/LCFC/status/1556291702834581504,https://twitter.com/BrentfordFC/status/1556291924142821379,https://www.youtube.com/watch?v=ggScDEAy4YM,Match Finished,no,unlocked
1570714,,867954,Manchester United vs Brighton,Brighton @ Man United,English Premier League 2022-08-07 Manchester United vs Brighton,Soccer,4328,English Premier League,2022-2023,"Manchester United need to return to the elite of the Premier League after a disastrous season in which they had to settle for sixth place and with empty hands of titles. Their debut is this season, at Old Trafford against Brighton, a rival that still doesn't know what it's like to win at the Theater of Dreams. Will the streak continue?",Manchester United,Brighton,1,1,2,,,2022-08-07T13:00:00+00:00,2022-08-07,2022-08-07,13:00:00,14:00:00,,133612,133619,,,,Old Trafford,England,,https://www.thesportsdb.com/images/media/event/poster/qqx4t61659895718.jpg,https://www.thesportsdb.com/images/media/event/square/29gjv11659893270.jpg,https://www.thesportsdb.com/images/media/event/fanart/8qm7061659885067.jpg,https://www.thesportsdb.com/images/media/event/thumb/dmwhlg1659642259.jpg,https://www.thesportsdb.com/images/media/event/banner/uvtpxu1659896707.jpg,,https://twitter.com/OfficialBHAFC/status/1556292517838163968,https://twitter.com/premierleague/status/1556292916930387970,,https://www.youtube.com/watch?v=cbL9NV-dStU,Match Finished,no,unlocked
1570715,,867955,West Ham vs Manchester City,Man City @ West Ham,English Premier League 2022-08-07 West Ham vs Manchester City,Soccer,4328,English Premier League,2022-2023,"Manchester City, led by Erling-Braut Haaland, begins the defense of its Premier League title won last season at the London Stadium, where a West Ham team that wants to fight for Europe awaits. City are undefeated in their last 13 Premier games with the hammers (W10 and D3), and only against Fulham (14) are they on a longer unbeaten streak between teams in the 2022/23 Premier!",West Ham,Manchester City,0,1,2,,,2022-08-07T15:30:00+00:00,2022-08-07,2022-08-07,15:30:00,16:30:00,,133636,133613,,,,London Stadium,England,,https://www.thesportsdb.com/images/media/event/poster/1ndc861659895719.jpg,https://www.thesportsdb.com/images/media/event/square/g7aqlf1659893270.jpg,https://www.thesportsdb.com/images/media/event/fanart/xbshac1660030797.jpg,https://www.thesportsdb.com/images/media/event/thumb/gi51ar1659642260.jpg,https://www.thesportsdb.com/images/media/event/banner/n7ma551659896707.jpg,,https://twitter.com/ManCity/status/1556330397432221696,https://twitter.com/ManCity/status/1556334334990340097,,https://www.youtube.com/watch?v=wlvZPDNjJB4,Match Finished,no,unlocked
