events/idEvent,events/idSoccerXML,events/idAPIfootball,events/strEvent,events/strEventAlternate,events/strFilename,events/strSport,events/idLeague,events/strLeague,events/strSeason,events/strDescriptionEN,events/strHomeTeam,events/strAwayTeam,events/intHomeScore,events/intRound,events/intAwayScore,events/intSpectators,events/strOfficial,events/strTimestamp,events/dateEvent,events/dateEventLocal,events/strTime,events/strTimeLocal,events/strTVStation,events/idHomeTeam,events/idAwayTeam,events/intScore,events/intScoreVotes,events/strResult,events/strVenue,events/strCountry,events/strCity,events/strPoster,events/strSquare,events/strFanart,events/strThumb,events/strBanner,events/strMap,events/strTweet1,events/strTweet2,events/strTweet3,events/strVideo,events/strStatus,events/strPostponed,events/strLocked
526540,376921,,Arsenal vs Leicester,Leicester @ Arsenal,English Premier League 2017-08-11 Arsenal vs Leicester,Soccer,4328,English Premier League,2017-2018,,Arsenal,Leicester,4,1,3,59327,,,2017-08-11,,18:45:00+00:00,,,133604,133626,,,,,,,,,,,,,,,,,,no,unlocked
526541,376924,,Watford vs Liverpool,Liverpool @ Watford,English Premier League 2017-08-12 Watford vs Liverpool,Soccer,4328,English Premier League,2017-2018,,Watford,Liverpool,3,1,3,20378,,,2017-08-12,,11:30:00+00:00,,,133624,133602,,,,,,,,,,,,,,,,,,no,unlocked
526542,376916,,West Brom vs Bournemouth,Bournemouth @ West Brom,English Premier League 2017-08-12 West Brom vs Bournemouth,Soccer,4328,English Premier League,2017-2018,,West Brom,Bournemouth,1,1,0,24971,,,2017-08-12,,14:00:00+00:00,,,133611,134301,,,,,,,,,,,,,,,,,,no,unlocked
526543,376917,,Crystal Palace vs Huddersfield Town,Huddersfield Town @ Crystal Palace,English Premier League 2017-08-12 Crystal Palace vs Huddersfield Town,Soccer,4328,English Premier League,2017-2018,,Crystal Palace,Huddersfield Town,0,1,3,25351,,,2017-08-12,,14:00:00+00:00,,,133632,133932,,,,,,,,,,,,,,,,,,no,unlocked
526544,376918,,Everton vs Stoke,Stoke @ Everton,English Premier League 2017-08-12 Everton vs Stoke,Soccer,4328,English Premier League,2017-2018,,Everton,Stoke,1,1,0,38952,,,2017-08-12,,14:00:00+00:00,,,133615,133609,,,,,,,,,,,,,,,,,,no,unlocked
526545,376922,,Southampton vs Swansea,Swansea @ Southampton,English Premier League 2017-08-12 Southampton vs Swansea,Soccer,4328,English Premier League,2017-2018,,Southampton,Swansea,0,1,0,31366,,,2017-08-12,,14:00:00+00:00,,,134778,133614,,,,,,,,,,,,,,,,,,no,unlocked
526546,376925,,Chelsea vs Burnley,Burnley @ Chelsea,English Premier League 2017-08-12 Chelsea vs Burnley,Soccer,4328,English Premier League,2017-2018,,Chelsea,Burnley,2,1,3,41544,,,2017-08-12,,14:00:00+00:00,,,133610,133623,,,,,,,,,,,,,,,,,,no,unlocked
526547,376923,,Brighton vs Man City,Man City @ Brighton,English Premier League 2017-08-12 Brighton vs Manchester City,Soccer,4328,English Premier League,2017-2018,,Brighton,Manchester City,0,1,2,30392,,,2017-08-12,,16:30:00+00:00,,,133619,133613,,,,,,,,,,,,,,,,,,no,unlocked
526548,376920,,Newcastle vs Tottenham,Tottenham @ Newcastle,English Premier League 2017-08-13 Newcastle vs Tottenham,Soccer,4328,English Premier League,2017-2018,,Newcastle,Tottenham,0,1,2,51991,,,2017-08-13,,12:30:00+00:00,,,134777,133616,,,,,,,,,,,,,,,,,,no,unlocked
526549,376919,,Man United vs West Ham,West Ham @ Man United,English Premier League 2017-08-13 Manchester United vs West Ham,Soccer,4328,English Premier League,2017-2018,,Manchester United,West Ham,4,1,0,74857,,,2017-08-13,,15:00:00+00:00,,,133612,133636,,,,,,,,,,,,,,,,,,no,unlocked
526550,376928,,Swansea vs Man United,Man United @ Swansea,English Premier League 2017-08-19 Swansea vs Manchester United,Soccer,4328,English Premier League,2017-2018,,Swansea,Manchester United,0,2,4,20822,,,2017-08-19,,11:30:00+00:00,,,133614,133612,,,,,,,,,,,,,,,,,,no,unlocked
526551,376927,,Bournemouth vs Watford,Watford @ Bournemouth,English Premier League 2017-08-19 Bournemouth vs Watford,Soccer,4328,English Premier League,2017-2018,,Bournemouth,Watford,0,2,2,10468,,,2017-08-19,,14:00:00+00:00,,,134301,133624,,,,,,,,,,,,,,,,,,no,unlocked
526552,376929,,Burnley vs West Brom,West Brom @ Burnley,English Premier League 2017-08-19 Burnley vs West Brom,Soccer,4328,English Premier League,2017-2018,,Burnley,West Brom,0,2,1,19580,,,2017-08-19,,14:00:00+00:00,,,133623,133611,,,,,,,,,,,,,,,,,,no,unlocked
526553,376930,,Southampton vs West Ham,West Ham @ Southampton,English Premier League 2017-08-19 Southampton vs West Ham,Soccer,4328,English Premier League,2017-2018,,Southampton,West Ham,3,2,2,31351,,,2017-08-19,,14:00:00+00:00,,,134778,133636,,,,,,,,,,,,,,,,,,no,unlocked
526554,376933,,Leicester vs Brighton,Brighton @ Leicester,English Premier League 2017-08-19 Leicester vs Brighton,Soccer,4328,English Premier League,2017-2018,,Leicester,Brighton,2,2,0,31860,,,2017-08-19,,14:00:00+00:00,,,133626,133619,,,,,,,,,,,,,,,,,,no,unlocked
526555,376934,,Liverpool vs Crystal Palace,Crystal Palace @ Liverpool,English Premier League 2017-08-19 Liverpool vs Crystal Palace,Soccer,4328,English Premier League,2017-2018,,Liverpool,Crystal Palace,1,2,0,53126,,,2017-08-19,,14:00:00+00:00,,,133602,133632,,,,,,,,,,,,,,,,,,no,unlocked
526556,376926,,Stoke vs Arsenal,Arsenal @ Stoke,English Premier League 2017-08-19 Stoke vs Arsenal,Soccer,4328,English Premier League,2017-2018,,Stoke,Arsenal,1,2,0,29436,,,2017-08-19,,16:30:00+00:00,,,133609,133604,,,,,,,,,,,,,,,,,,no,unlocked
526557,376932,,Huddersfield Town vs Newcastle,Newcastle @ Huddersfield Town,English Premier League 2017-08-20 Huddersfield Town vs Newcastle,Soccer,4328,English Premier League,2017-2018,,Huddersfield Town,Newcastle,1,2,0,24104,,,2017-08-20,,12:30:00+00:00,,,133932,134777,,,,,,,,,,,,,,,,,,no,unlocked
526558,376931,,Tottenham vs Chelsea,Chelsea @ Tottenham,English Premier League 2017-08-20 Tottenham vs Chelsea,Soccer,4328,English Premier League,2017-2018,,Tottenham,Chelsea,1,2,2,73554,,,2017-08-20,,15:00:00+00:00,,,133616,133610,,,,,,,,,,,,,,,,,,no,unlocked
526559,376935,,Man City vs Everton,Everton @ Man City,English Premier League 2017-08-21 Manchester City vs Everton,Soccer,4328,English Premier League,2017-2018,,Manchester City,Everton,1,2,1,,,,2017-08-21,,19:00:00+00:00,,,133613,133615,,,,,,,,,,,,,,,,,,no,unlocked
526560,376943,,Bournemouth vs Man City,Man City @ Bournemouth,English Premier League 2017-08-26 Bournemouth vs Manchester City,Soccer,4328,English Premier League,2017-2018,,Bournemouth,Manchester City,1,3,2,,,,2017-08-26,,11:30:00+00:00,,,134301,133613,,,,,,,,,,,,,,,,,,no,unlocked
526561,376936,,Watford vs Brighton,Brighton @ Watford,English Premier League 2017-08-26 Watford vs Brighton,Soccer,4328,English Premier League,2017-2018,,Watford,Brighton,0,3,0,20103,,,2017-08-26,,14:00:00+00:00,,,133624,133619,,,,,,,,,,,,,,,,,,no,unlocked
526562,376937,,Crystal Palace vs Swansea,Swansea @ Crystal Palace,English Premier League 2017-08-26 Crystal Palace vs Swansea,Soccer,4328,English Premier League,2017-2018,,Crystal Palace,Swansea,0,3,2,23465,,,2017-08-26,,14:00:00+00:00,,,133632,133614,,,,,,,,,,,,,,,,,,no,unlocked
526563,376939,,Huddersfield Town vs Southampton,Southampton @ Huddersfield Town,English Premier League 2017-08-26 Huddersfield Town vs Southampton,Soccer,4328,English Premier League,2017-2018,,Huddersfield Town,Southampton,0,3,0,,,,2017-08-26,,14:00:00+00:00,,,133932,134778,,,,,,,,,,,,,,,,,,no,unlocked
526564,376942,,Newcastle vs West Ham,West Ham @ Newcastle,English Premier League 2017-08-26 Newcastle vs West Ham,Soccer,4328,English Premier League,2017-2018,,Newcastle,West Ham,3,3,0,52062,,,2017-08-26,,14:00:00+00:00,,,134777,133636,,,,,,,,,,,,,,,,,,no,unlocked
526566,376941,,Man United vs Leicester,Leicester @ Man United,English Premier League 2017-08-26 Manchester United vs Leicester,Soccer,4328,English Premier League,2017-2018,,Manchester United,Leicester,2,3,0,74988,,,2017-08-26,,16:30:00+00:00,,,133612,133626,,,,,,,,,,,,,,,,,,no,unlocked
